0.3462;0.3077;0.3077;0.3077;0.3462;0.3846;
0.3208;0.3208;0.3208;0.3208;0.3585;0.3585;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3455;0.3455;0.3455;0.3091;0.3091;0.3455;
0.3571;0.3571;0.3214;0.2857;0.3214;0.3571;
0.3684;0.3333;0.2982;0.2982;0.3333;0.3684;
0.3448;0.3103;0.3103;0.3103;0.3448;0.3793;
0.3220;0.3220;0.3220;0.3220;0.3559;0.3559;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3443;0.3443;0.3443;0.3115;0.3115;0.3443;
0.3548;0.3548;0.3226;0.2903;0.3226;0.3548;
0.3651;0.3333;0.3016;0.3016;0.3333;0.3651;
0.3438;0.3125;0.3125;0.3125;0.3438;0.3750;
0.3231;0.3231;0.3231;0.3231;0.3538;0.3538;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3433;0.3433;0.3433;0.3134;0.3134;0.3433;
0.3529;0.3529;0.3235;0.2941;0.3235;0.3529;
0.3623;0.3333;0.3043;0.3043;0.3333;0.3623;
0.3429;0.3143;0.3143;0.3143;0.3429;0.3714;
0.3239;0.3239;0.3239;0.3239;0.3521;0.3521;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3425;0.3425;0.3425;0.3151;0.3151;0.3425;
0.3514;0.3514;0.3243;0.2973;0.3243;0.3514;
0.3600;0.3333;0.3067;0.3067;0.3333;0.3600;
0.3421;0.3158;0.3158;0.3158;0.3421;0.3684;
0.3247;0.3247;0.3247;0.3247;0.3506;0.3506;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3418;0.3418;0.3418;0.3165;0.3165;0.3418;
0.3500;0.3500;0.3250;0.3000;0.3250;0.3500;
0.3580;0.3333;0.3086;0.3086;0.3333;0.3580;
0.3415;0.3171;0.3171;0.3171;0.3415;0.3659;
0.3253;0.3253;0.3253;0.3253;0.3494;0.3494;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3412;0.3412;0.3412;0.3176;0.3176;0.3412;
0.3488;0.3488;0.3256;0.3023;0.3256;0.3488;
0.3563;0.3333;0.3103;0.3103;0.3333;0.3563;
0.3409;0.3182;0.3182;0.3182;0.3409;0.3636;
0.3258;0.3258;0.3258;0.3258;0.3483;0.3483;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3407;0.3407;0.3407;0.3187;0.3187;0.3407;
0.3478;0.3478;0.3261;0.3043;0.3261;0.3478;
0.3548;0.3333;0.3118;0.3118;0.3333;0.3548;
0.3404;0.3191;0.3191;0.3191;0.3404;0.3617;
0.3263;0.3263;0.3263;0.3263;0.3474;0.3474;
0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;
0.3402;0.3402;0.3402;0.3196;0.3196;0.3402;
0.3469;0.3469;0.3265;0.3061;0.3265;0.3469;
0.3535;0.3333;0.3131;0.3131;0.3333;0.3535;
